,ood_score_normalized_spatial,ood_score_normalized_magnitude,ood_score_normalized_all
ADE_val_00000095,0.17325262905578678,6.127598012797958e-06,6.916902115454737e-06
ADE_val_00000758,0.3800338965740644,9.373212381007905e-06,1.1847384298285187e-05
ADE_val_00000510,0.025327354018155345,5.453253641242244e-06,3.908644414405138e-06
ADE_val_00001775,0.15734725626132495,6.824718627605334e-06,6.13301353133075e-06
ADE_val_00000791,0.222703942730715,4.8331127050397896e-06,7.5117221882139106e-06
ADE_val_00001057,0.18904355760668531,1.148865422852337e-05,1.433116217048297e-05
ADE_val_00000963,0.17594011469011803,2.619129526138089e-06,3.4592879842254705e-06
ADE_val_00001087,0.1437966976982564,1.2880911319286316e-05,9.762186229747773e-06
ADE_val_00000073,0.055079867185108045,5.706920487233063e-06,7.246741330784994e-06
ADE_val_00000267,0.1432563394073355,1.098300886329073e-05,1.3522004151888814e-05
ADE_val_00001849,0.2168527218111271,8.551847896349845e-06,7.586870835682439e-06
ADE_val_00001523,0.04398010127053679,4.9003076149152684e-06,4.7874322318383075e-06
ADE_val_00000932,0.2979898896703181,7.748923648347464e-06,8.859847218590116e-06
ADE_val_00001541,0.167551920043505,1.3549545756419934e-05,9.906624756045325e-06
ADE_val_00000294,0.10823680108838618,6.960415167685633e-06,5.083796190304566e-06
ADE_val_00001795,0.4141649794481501,1.3878515913599444e-05,2.1147919515729278e-05
ADE_val_00001186,0.0765572409801947,3.3730877969795764e-06,3.4210312510031166e-06
ADE_val_00001510,0.1313845835531678,1.0300337122279331e-05,9.178361502624807e-06
ADE_val_00001792,0.43436700365493086,4.533982813853049e-06,9.29850942068671e-06
ADE_val_00000789,0.006624330031936486,4.188798248528954e-06,1.4216022828952612e-06
ADE_val_00001981,0.1678338858137685,1.4649214196207215e-05,1.0688843837731266e-05
ADE_val_00001806,0.04143823331593333,5.691343538235446e-06,5.1965141998956514e-06
ADE_val_00001553,0.33884734155184704,1.0808197374445366e-05,1.8874038199116626e-05
ADE_val_00001196,0.08349149158565959,1.1356380049883802e-05,7.638820225036939e-06
ADE_val_00001048,0.16820627226216028,1.1254628325464186e-05,9.971086542210347e-06
ADE_val_00001999,0.26563364730544037,1.0832478637990535e-05,1.587530414238502e-05
ADE_val_00000568,0.10840155482479648,1.3542923328811482e-05,1.0952405218545785e-05
ADE_val_00000431,0.3434585440108506,5.5237818789027085e-06,1.181346857511755e-05
ADE_val_00000199,0.24701536997897264,1.6936201587928935e-05,2.0118222831299653e-05
ADE_val_00000395,0.14175298610454193,4.779786488662917e-06,3.849720552599065e-06
ADE_val_00001992,0.1507674296266999,4.18315654979047e-06,3.7235492998732937e-06
ADE_val_00001680,0.1744524934367348,2.9760276243847156e-05,3.940058819590111e-05
ADE_val_00000947,0.0,1.2916805572153316e-05,1.0169043921735837e-05
ADE_val_00000754,0.1465852506119003,4.243538262065891e-06,4.18126249153947e-06
ADE_val_00001787,0.05883364957461056,8.75217553855197e-06,5.891382057336556e-06
ADE_val_00001733,0.14927457586201703,7.70175777746516e-06,7.776101317308408e-06
ADE_val_00000807,0.2661238832031378,2.5077031738380545e-06,4.2239711027938945e-06
ADE_val_00000161,0.11492879636157452,1.1627534761131522e-05,1.6113793216141967e-05
ADE_val_00001537,0.31355345131922585,1.4170740049321882e-05,1.2492190697449404e-05
ADE_val_00000169,0.21053570960707813,4.768013562040606e-06,6.4922037423540755e-06
ADE_val_00001699,0.08250828803945219,2.1689224458518116e-06,4.089476706283121e-06
ADE_val_00000119,0.0020162690035651597,3.993182950864856e-06,1.881936872449127e-06
ADE_val_00001625,0.27931725005048985,7.635956810962704e-06,1.133083042183198e-05
ADE_val_00001601,0.15305757665902164,6.1905955124429875e-06,5.0324962172131175e-06
ADE_val_00000654,0.25121632211955236,2.2208779745787766e-05,2.7874263628982246e-05
ADE_val_00000032,0.03960676980865429,8.56218524057265e-06,1.0827860127559918e-05
ADE_val_00000591,0.07889386514244393,8.75539479108561e-06,1.074569836129768e-05
ADE_val_00001643,0.393220193729009,2.473726826326877e-05,4.1432248925281625e-05
ADE_val_00001811,0.07057058017761597,1.5248097962109284e-05,1.9316403449552225e-05
ADE_val_00001323,0.10461060582254017,3.2727995697727095e-06,2.999150682106006e-06
ADE_val_00001168,0.015949584907118185,4.547093083637369e-06,3.807567500801831e-06
ADE_val_00000037,0.14869754491467055,7.995272559139557e-06,8.531953043857188e-06
ADE_val_00000863,0.44310909991942865,6.481519241260878e-06,4.896699206220148e-06
ADE_val_00000666,0.15639309563897266,1.0998419231351391e-05,9.906752189269724e-06
ADE_val_00000741,0.19188947954827493,1.0224164614395026e-05,1.1842848978438758e-05
ADE_val_00001070,0.19509716055922408,1.3630329462201912e-05,7.475960394160767e-06
ADE_val_00001786,0.06415817620151826,1.2297684173477019e-05,9.280179789573977e-06
ADE_val_00000652,0.20901640646502698,1.5492825684666574e-05,1.4360396736712645e-05
ADE_val_00001065,0.5085765905758742,8.106122135393436e-06,1.5048842849616656e-05
ADE_val_00000656,0.25792259715341803,1.8741077375982804e-05,1.2749600282931987e-05
ADE_val_00000356,0.12348910272733184,1.3856328059673901e-05,2.2646900317955425e-05
ADE_val_00001747,0.1497153667518574,1.9671159620744023e-05,1.1212341070832934e-05
ADE_val_00001678,0.06283869715588558,1.2658473499440245e-05,8.074922524658604e-06
ADE_val_00001736,0.5256628533768836,3.155946825063494e-06,1.67882689131763e-05
ADE_val_00001400,0.19635638749108125,2.5152845592816324e-05,2.1787766753846166e-05
ADE_val_00001037,0.03106628302075207,1.2551515489387039e-05,9.132347483838842e-06
ADE_val_00001817,0.12100877838336363,4.5411022527669305e-06,4.926523366786315e-06
ADE_val_00001230,0.15079572268439118,1.1177994707218703e-05,1.1092942039439287e-05
ADE_val_00000201,0.1087485370142368,1.7654939336479372e-05,1.2695569322670795e-05
ADE_val_00000112,0.22698812522770428,1.4123987364224874e-05,1.3730502783646803e-05
ADE_val_00001280,0.3705925853026538,1.2548284996934498e-05,1.239046278749221e-05
ADE_val_00001265,0.10872457376184316,5.650784753159277e-06,4.588214851376027e-06
ADE_val_00001549,0.07830364135001297,6.03007371624093e-05,4.9195359459147085e-05
ADE_val_00001489,0.147068056807214,1.441773339085329e-05,1.3530561389550043e-05
ADE_val_00001190,0.12979092179958157,3.6831218339160075e-06,4.695881977947533e-06
ADE_val_00000333,0.09616799926862334,4.220869034278095e-06,4.247799071585007e-06
ADE_val_00001681,0.302230734499512,1.884812206479122e-05,1.443888920893069e-05
ADE_val_00000245,0.01796809675375898,1.9178200464671774e-06,2.608408449026049e-06
ADE_val_00001870,0.26956834802804414,1.4710833364341715e-05,8.530943963953183e-06
ADE_val_00001149,0.2936014072658822,3.0967040549921145e-06,7.06666023331147e-06
ADE_val_00000849,0.22860232590825397,1.3078698757800764e-05,1.0609554192573578e-05
ADE_val_00001210,0.29535066179513314,1.5798810597607717e-05,1.5144684904943515e-05
ADE_val_00000381,0.2363590973041895,1.4659322132481219e-05,1.6378584487861696e-05
ADE_val_00001371,0.1680852211327337,5.212637526023384e-06,1.7664298035644915e-06
ADE_val_00000982,0.2602829551416364,1.5839439231080007e-05,1.2969287990542901e-05
ADE_val_00001461,0.033287043377296,1.353303625053635e-06,1.067460334418903e-06
ADE_val_00000831,0.05253371015893302,4.041818124187202e-06,3.8214290623304124e-06
ADE_val_00001406,0.31458212980231837,6.2970690185204665e-06,7.290245838036061e-06
ADE_val_00000459,0.14581403393993456,2.4646298629649914e-06,2.214189265850904e-06
ADE_val_00001215,0.21635804592607177,1.2871272132700816e-05,1.3668595725128534e-05
ADE_val_00001664,0.15273737086202419,1.024497666751393e-05,1.0931753528948139e-05
ADE_val_00000995,0.19144686955226461,2.172297557769275e-06,2.46423438262928e-06
ADE_val_00001924,0.1923951427511606,1.0112092304206136e-05,1.390250257361329e-05
ADE_val_00000001,0.17929576224351337,1.4830435695451436e-05,8.971491306057852e-06
ADE_val_00001550,0.16977342302767268,6.8732472297790575e-06,7.2981613422297785e-06
ADE_val_00000551,0.07131032720518643,5.7356696603782574e-06,4.767092102023938e-06
ADE_val_00000765,0.44597890674818313,2.9813981946742553e-05,3.768954256408963e-05
ADE_val_00001893,0.30519139136845497,2.5947651365470388e-05,2.8612528352630916e-05
ADE_val_00001770,0.14983628431922755,1.4030481970622776e-05,1.4232364428430638e-05
ADE_val_00001228,0.20304600766313394,1.0582116164757829e-05,9.58058514172606e-06
ADE_val_00001603,0.18991797377224928,9.41544676457773e-06,1.2493654164593444e-05
ADE_val_00001726,0.28419366388257916,9.766491613890961e-06,1.407851484342071e-05
ADE_val_00000845,0.29698679038919257,1.0558197892953e-05,1.196616388499659e-05
ADE_val_00001690,0.2660454829980179,5.082471258380668e-06,5.5638653677256265e-06
ADE_val_00000965,0.051627273396961666,4.630061268590737e-06,2.4557285198737135e-06
ADE_val_00001220,0.393061554345776,1.452249465329595e-05,1.538801956695803e-05
ADE_val_00001239,0.07368057949528588,8.917460657148995e-06,8.126276715603032e-06
ADE_val_00000903,0.04966503030870972,2.039345580846626e-05,3.39972309563453e-05
ADE_val_00000939,0.11117673953243934,3.4909297543967918e-06,2.891780397932843e-06
ADE_val_00000420,0.11157018599254756,1.1262688284496343e-05,8.366588771075535e-06
ADE_val_00001389,0.5082109798616937,3.430304318075228e-05,2.3052411183266196e-05
ADE_val_00001465,0.09576624110615754,8.030439394523501e-07,1.1426716504461085e-06
ADE_val_00000376,0.06503990431600305,1.282633403708918e-05,1.0479018866554309e-05
ADE_val_00001055,0.23572476476131712,4.2965894492933155e-06,3.832872373637025e-06
ADE_val_00000464,0.14162369283006762,1.088911935946263e-05,8.360096479547085e-06
ADE_val_00001894,0.2150382906945741,7.2616916526273745e-06,8.580961108342503e-06
ADE_val_00001204,0.39425212757562533,5.1855962747747e-06,3.867905509685899e-06
ADE_val_00000156,0.1428464847805241,3.6056279570411547e-06,4.4817367192435284e-06
ADE_val_00001758,0.22431827536861962,4.565305973818006e-06,5.3809920330656925e-06
ADE_val_00000058,0.3866329143876497,1.1633513603132507e-05,2.1408174271600954e-05
ADE_val_00000751,0.2638567387423163,9.207989820256796e-06,1.0786066073547236e-05
ADE_val_00001000,0.2586954357735306,7.92912023036603e-06,8.995246910875422e-06
ADE_val_00000413,0.2731065930469089,1.051724911862824e-05,1.708022487657179e-05
ADE_val_00000771,0.1820073642157692,2.97168724152067e-05,1.931229666413395e-05
ADE_val_00001502,0.10377493072204623,1.1577092280055097e-05,1.2133589365868987e-05
ADE_val_00000185,0.09631093375883454,2.8050426921002913e-06,4.623574886033942e-06
ADE_val_00001897,0.5112532324893384,1.3998668142103151e-05,1.4034272814189088e-05
ADE_val_00000841,0.03815132158931176,4.708491898847846e-06,1.2909006442470636e-06
ADE_val_00001424,0.19631084979548388,6.523433231974843e-06,7.019477054407616e-06
ADE_val_00001750,0.04093077423923295,1.726643206170549e-05,2.4964377256899426e-05
ADE_val_00001195,0.016064436589225933,6.068792709648485e-06,6.187010193531758e-06
ADE_val_00000531,0.09735014711124151,8.23445702231631e-06,8.550265816409167e-06
ADE_val_00001194,0.15188271155917143,4.4271102792698216e-06,4.446778856147697e-06
ADE_val_00001742,0.18900563323135627,9.551342157513902e-06,1.0962505464595279e-05
ADE_val_00001635,0.10705400185825965,6.550425380302681e-06,7.671002513724248e-06
ADE_val_00001673,0.2146461034111048,6.9002248865100005e-06,3.932735672626886e-06
ADE_val_00000293,0.2649983908729924,1.2043085446397567e-05,1.8151239745301278e-05
ADE_val_00001151,0.024522019207566984,4.628666695200368e-06,3.7957492304460827e-06
ADE_val_00000966,0.03030967835405898,5.145390911063362e-06,3.709851476185627e-06
ADE_val_00000861,0.2651665540031995,7.100692572398643e-06,6.342149651110473e-06
ADE_val_00000748,0.30218074579158755,9.364512666992145e-06,6.392892192964439e-06
ADE_val_00001592,0.0434055667922646,4.5109868061393e-06,8.16245428205435e-06
ADE_val_00000706,0.002228277641715066,3.6764711525493295e-06,5.832443452194622e-06
ADE_val_00000275,0.1699267502955716,1.2323130754727252e-05,1.2874161686830844e-05
ADE_val_00001001,0.20886592199010826,7.592406967105815e-06,9.135640539200809e-06
ADE_val_00000818,0.13630156890725834,5.004476805553826e-06,5.276606022208242e-06
ADE_val_00000898,0.18089941754374692,1.444562131129796e-05,1.1703205773778074e-05
ADE_val_00000794,0.07336477053052565,3.07980484217615e-05,3.5166745007262284e-05
ADE_val_00001517,0.2396318505051652,2.6883321592650807e-06,5.516403503823769e-06
ADE_val_00001083,0.036315139276441796,1.288532214265226e-05,1.4257260608401893e-05
ADE_val_00000048,0.49777729522795144,1.3911892212107592e-05,1.3897562215383943e-05
ADE_val_00001245,0.15532090901606604,5.877911294097973e-06,5.187797455834064e-06
ADE_val_00001604,0.32007864469366604,1.2871952433177435e-05,1.995460131994405e-05
ADE_val_00001782,0.14755054070012044,1.687657468865631e-05,2.128984675842183e-05
ADE_val_00001007,0.10162674518808348,9.85715047627803e-06,7.826052824757598e-06
ADE_val_00000825,0.04730089483427632,1.2146709041182357e-05,9.171662774566987e-06
ADE_val_00001768,0.17130873063523,1.9759456194896507e-06,2.1861423042931973e-06
ADE_val_00001012,0.12440448363382016,7.202704141437683e-06,8.917099845893022e-06
ADE_val_00001615,0.287338093376078,1.49051755506968e-05,1.3877044528863115e-05
ADE_val_00001137,0.22982745027829507,8.168481631065537e-06,8.840515132359885e-06
ADE_val_00001080,0.14881726597673645,1.4415992363026778e-05,1.4027806751401589e-05
ADE_val_00000779,0.17798304170445783,2.0203216394257003e-06,3.0712108260796237e-06
ADE_val_00001507,0.2881431503539368,6.0670787600713125e-06,9.233694557257965e-06
ADE_val_00001997,0.3822485474922172,7.059016904085675e-06,7.094942436607439e-06
ADE_val_00001626,0.19601972206190282,7.141095010440619e-06,1.0589835206981793e-05
ADE_val_00000671,0.22850329907466863,8.239203141330799e-06,8.308530806911643e-06
ADE_val_00000924,0.12575319510913874,1.665591398074934e-05,2.0060236765167426e-05
ADE_val_00000840,0.10806175645154639,2.972384683441794e-06,1.8382810058162512e-06
ADE_val_00001876,0.18456808814518835,6.259950762333477e-06,4.1645970283323915e-06
ADE_val_00000238,0.18213390882175123,5.451776686729486e-06,6.635103942329579e-06
ADE_val_00000078,0.1383585759778827,2.2398199212776518e-06,4.455459177709465e-06
ADE_val_00001077,0.24824120232113123,9.735729420766349e-06,1.0298712933483347e-05
ADE_val_00001366,0.24188430596890548,9.192269036924686e-06,1.885986866416981e-05
ADE_val_00000774,0.2827633353359992,7.376186693067365e-06,8.453355726742166e-06
ADE_val_00000866,0.39298319254519054,4.880429378418148e-06,6.0494788128087835e-06
ADE_val_00000049,0.24377449807052065,7.841701739585013e-06,7.5334472161485085e-06
ADE_val_00001767,0.11514102813057436,2.2886778587152543e-06,4.265277561500874e-06
ADE_val_00000908,0.05575886003636505,1.414326412964864e-05,1.3100534761147966e-05
ADE_val_00000871,0.22080819711581956,9.106506614167134e-06,7.667891247403369e-06
ADE_val_00001913,0.24582790756957754,1.118515561377679e-05,1.8822297620056387e-05
ADE_val_00000155,0.1798334859854408,6.4276831347104086e-06,5.461815004836986e-06
ADE_val_00001351,0.14409532805927375,1.2124359319506738e-05,1.8973680799256338e-05
ADE_val_00000644,0.13511430502671698,2.042260577596889e-06,2.9507776285993808e-06
ADE_val_00001096,0.10710489558963408,3.5321162278665767e-06,4.3521383483591996e-06
ADE_val_00001873,0.405915311115509,4.303661750786512e-06,2.7430274500070686e-06
ADE_val_00001956,0.17502407770735787,1.4013904726141971e-05,1.6576435884114937e-05
ADE_val_00001861,0.2184591437508874,2.714129222008962e-06,1.148437357161763e-06
ADE_val_00001120,0.07955846729606046,3.0209048816519888e-06,1.5200635666128136e-06
ADE_val_00000250,0.14059117314093822,1.1801720814341665e-05,8.083436572321685e-06
ADE_val_00001044,0.4078471273818378,1.0561127284465153e-05,1.799479541784733e-05
ADE_val_00000957,0.5497679368815851,1.4749817080341098e-05,2.8957499452132007e-05
ADE_val_00001494,0.08987682903043706,8.454082401462494e-06,1.4473701055989175e-05
ADE_val_00000478,0.15850745607898842,7.155534296672833e-06,6.9485758494717675e-06
ADE_val_00001026,0.09619044305538627,7.004155318201392e-06,8.954533422778881e-06
ADE_val_00000157,0.0883887653255783,1.0141941291789936e-05,8.664175204809772e-06
ADE_val_00001869,0.19272410489474648,6.871526508463334e-06,6.029173535458243e-06
ADE_val_00000436,0.1309441337494332,1.3412650159247093e-05,1.1954243534292082e-05
ADE_val_00000733,0.1071013504859297,5.410975447701961e-06,9.233319966842746e-06
ADE_val_00001184,0.34692660219559557,6.2792743879403435e-06,7.120689230539473e-06
ADE_val_00000552,0.10581646230349966,7.240364063702733e-06,8.825653753899939e-06
ADE_val_00001133,0.24160920859911236,7.1272294073188424e-06,8.606522818572283e-06
ADE_val_00000406,0.37002491763089596,5.293105932765209e-06,9.960183139880309e-06
ADE_val_00001340,0.2629024378606586,7.342410292345914e-06,7.548777976092166e-06
ADE_val_00000997,0.31336778376826113,8.200219921140873e-06,6.912449234082076e-06
ADE_val_00000040,0.013414038439692258,1.3931740429571345e-05,1.3254786150215209e-05
ADE_val_00001568,0.0996527220205203,7.0296260058563255e-06,6.653347760463166e-06
ADE_val_00000760,0.5603079868857722,1.1233142548485649e-05,1.384943763224238e-05
ADE_val_00001670,0.4421171171512166,4.011597140981213e-06,8.169678725675161e-06
ADE_val_00001578,0.07085292840582595,4.853204184397868e-06,3.954171426687073e-06
ADE_val_00000508,0.17366294261891008,4.88919157611908e-06,5.5635875544124965e-06
ADE_val_00000604,0.07064440499863636,7.4431719303023e-06,9.80678732458263e-06
ADE_val_00001164,0.247473037955487,5.3440542805862175e-06,7.827643176773081e-06
ADE_val_00000630,0.3705286659200779,6.253709604285475e-06,6.4283981648989e-06
ADE_val_00000282,0.21922857810049884,3.5501946637007365e-06,3.698622880924681e-06
ADE_val_00000917,0.0519551050427319,7.3657405101698625e-06,6.814877509394901e-06
ADE_val_00000526,0.025293576843964053,1.9924228244436364e-06,2.086553589211411e-06
ADE_val_00001396,0.17235380727916166,8.562936006610895e-06,3.114940819080409e-06
ADE_val_00000041,0.27674456113239215,6.972113586872206e-06,5.995408901052687e-06
ADE_val_00000678,0.05545102524408402,2.8261444663037717e-05,1.8639987762192734e-05
ADE_val_00001941,0.218413809443965,1.8982507931923937e-05,1.527717501113354e-05
ADE_val_00001423,0.010287180642717773,2.815698790286573e-06,1.2681602371181264e-06
ADE_val_00000530,0.11634506339334731,6.832576496451189e-06,7.4464851233773025e-06
ADE_val_00000072,0.17289945706020005,1.3074430146229695e-05,1.241612634500273e-05
ADE_val_00001531,0.026507971427568618,1.5620150660419507e-05,1.1357022842881319e-05
ADE_val_00000914,0.05055655250443866,2.8219335622243926e-06,2.052220393410531e-06
ADE_val_00001092,0.042861398004260906,4.120693968073714e-06,2.6584781594170686e-06
ADE_val_00000938,0.27831718141633316,1.0592009464675001e-05,1.408617457300109e-05
ADE_val_00001442,0.2259311554232671,1.0991923999706293e-05,1.5040973660092276e-05
ADE_val_00001886,0.15104534368079742,1.1221405961918255e-05,8.443491151953228e-06
ADE_val_00001358,0.16595050791343866,7.659764334573358e-06,1.2653108692527601e-05
ADE_val_00001045,0.10704514257499062,3.5443816287847626e-06,4.569723729188478e-06
ADE_val_00000781,0.10568016247771797,5.7623872195789584e-06,2.974344089104991e-06
ADE_val_00000061,0.36628035037036477,2.3156234112474662e-05,1.929319935070502e-05
ADE_val_00000177,0.15429403335211936,2.1279907865629368e-05,2.7347388628436623e-05
ADE_val_00001567,0.10760721147774971,2.949999054751447e-06,3.0875444026459202e-06
ADE_val_00000403,0.07563736417140499,1.7572881819306703e-05,1.1572974414501696e-05
ADE_val_00001500,0.23766580026286074,7.52583615802397e-06,6.7130291839856884e-06
ADE_val_00000994,0.06913648937070493,6.133264037502148e-06,7.316566272411792e-06
ADE_val_00001505,0.2491917198573848,8.429420984646528e-06,1.2527782384129138e-05
ADE_val_00001255,0.11677888399959936,2.51957782716459e-06,8.748275904498645e-07
ADE_val_00000126,0.15717198371729177,5.73756405617376e-06,6.888684632557538e-06
ADE_val_00001732,0.23741298696997498,4.613096713025979e-06,6.623723289531484e-06
ADE_val_00000274,0.03352263294695044,5.004424642424523e-06,2.954303507429152e-06
ADE_val_00000283,0.41464616585231523,8.12939526463805e-06,8.603653725976149e-06
ADE_val_00000107,0.15360413667395564,9.095155829757506e-06,9.017027383075176e-06
ADE_val_00001350,0.3104349388392907,2.2118436401816655e-05,4.529168915791775e-05
ADE_val_00000081,0.04968968729109624,1.0515072808661378e-05,1.108326427018006e-05
ADE_val_00000011,0.19046903227389886,1.4987898469621633e-05,1.2129310348699773e-05
ADE_val_00000660,0.0062264021425039,1.9886349701619583e-05,1.7673198700591803e-05
ADE_val_00000197,0.000181144635235416,9.009064753734221e-06,5.370877540124312e-06
ADE_val_00001445,0.2748878755966372,7.36631381268099e-06,1.6870259676826797e-05
ADE_val_00001431,0.4428441736208784,1.4889630632027463e-05,1.6575170994283704e-05
ADE_val_00000369,0.18199858934439433,1.8950025429465597e-06,1.6196263833256581e-06
ADE_val_00001329,0.10308546630918006,3.697630881832178e-06,4.4735113623043965e-06
ADE_val_00000079,0.1356894451758388,1.2385083915648635e-05,1.392119305165407e-05
ADE_val_00000500,0.09527301184462746,8.427341604423538e-06,9.213676496767126e-06
ADE_val_00001497,0.2115255825954711,4.302863742081911e-06,6.770270792275649e-06
ADE_val_00000320,0.27434079007872114,4.998147169700222e-06,5.6470466520627166e-06
ADE_val_00000821,0.1400454510024231,3.5592041122513073e-06,3.2504236507595267e-06
ADE_val_00001644,0.016320298173189907,4.828676567267291e-06,2.706106362169448e-06
ADE_val_00000909,0.19672360801001565,1.3089347373837868e-05,8.078314415486773e-06
ADE_val_00001752,0.1984964320645244,1.516096365374773e-05,1.401921751861885e-05
ADE_val_00001462,0.05474667276271133,5.135485023530005e-06,3.2440916138099566e-06
ADE_val_00000950,0.18506710472215315,4.746547187839507e-06,5.866086726335534e-06
ADE_val_00001669,0.10364851869179097,6.098365835754946e-06,6.152989784616709e-06
ADE_val_00001176,0.09982438105189272,3.65260050674298e-06,5.2561154038751e-06
ADE_val_00001895,0.23709432442092793,2.2849314898466777e-05,1.7773789139190623e-05
ADE_val_00000336,0.3154685747251601,1.640219092411601e-05,2.382495814136693e-05
ADE_val_00000761,0.42164122963822703,2.7904691339082494e-05,2.6224511573221195e-05
ADE_val_00000200,0.24545396182606546,5.532834872558269e-06,6.542713629525086e-06
ADE_val_00001703,0.2459646539938541,1.1057165437651286e-05,9.611140091981942e-06
ADE_val_00001110,0.7430146008404457,2.042567558658866e-05,3.6444626869368906e-05
ADE_val_00001790,0.12934160470370684,4.75389001034537e-06,5.615845579445114e-06
ADE_val_00001385,0.01033283624144519,1.081237316965738e-05,5.542808808092713e-06
ADE_val_00001866,0.1916453239709977,6.623812006625198e-06,1.0932286715948587e-05
ADE_val_00000836,0.008288752261528726,2.250471428756155e-05,2.283038410440758e-05
ADE_val_00001047,0.2794093175281279,1.3010873857980705e-05,1.7183548072362997e-05
ADE_val_00000080,0.20958445813801607,4.18390624240904e-06,4.103781924267059e-06
ADE_val_00000674,0.25910314967823417,1.1517767741973155e-05,1.9855775399208e-05
ADE_val_00000834,0.1712415757141322,5.462883152316532e-06,5.922624049567172e-06
ADE_val_00000653,0.11031871106344782,2.376495114706739e-06,2.462045007270636e-06
ADE_val_00001391,0.314067758564982,4.452719625414001e-06,3.2772103269750003e-06
ADE_val_00000472,0.06906665385945333,8.059754454793697e-06,8.52236631103667e-06
ADE_val_00000476,0.09221322589677555,9.829980554054447e-06,1.1696328401350863e-05
ADE_val_00000150,0.26343966816873704,1.0634965344719753e-05,1.546866537429322e-05
ADE_val_00000057,0.045410703339585766,1.2859018645120151e-05,1.1180524796314711e-05
ADE_val_00000190,0.23384218370656765,5.223933147088045e-06,6.993598595308316e-06
ADE_val_00000446,0.4110910407183126,1.6827171794930813e-05,1.9534660422172874e-05
ADE_val_00001261,0.22176484237161595,7.538407479865596e-06,9.7566247246314e-06
ADE_val_00001620,0.2605729495735705,4.121485119237219e-06,5.265994924273312e-06
ADE_val_00001291,0.04619267279840866,3.997525446103777e-06,5.690120705585624e-06
ADE_val_00000638,0.28948918312248473,1.259357624481396e-05,1.3904885136019646e-05
ADE_val_00001509,0.10785264457806781,7.082780500726761e-06,6.716291009899001e-06
ADE_val_00001345,0.1536477521115307,9.240551333644228e-06,9.794327784041886e-06
ADE_val_00001160,0.23398868569359693,5.0181848351737026e-06,5.3897365087697515e-06
ADE_val_00000889,0.21641698306078488,1.0982566417049634e-05,1.1015845356768597e-05
ADE_val_00000877,0.1533074648420477,3.0129856425144458e-05,2.1443430252944866e-05
ADE_val_00000236,0.21129573519186104,7.199757690623322e-06,4.36959846141041e-06
ADE_val_00000475,0.07379439582917012,2.627624406245977e-06,3.5130892764835113e-06
ADE_val_00000097,0.08371623545280937,1.5992715200426004e-06,3.0085180050855623e-06
