,ood_score_normalized_spatial,ood_score_normalized_magnitude,is_ood,ood_score_normalized_all
0205_00,0.04928508742973001,0.17306447350986306,1,0.16121047513850273
0207_00,0.04406911095694587,0.002379485857244586,0,0.002351807497488555
0207_01,0.04443355027056676,0.011351442159091004,1,0.012048274521603463
0212_00,0.07626835290226884,0.022693178743046008,1,0.030795419563433388
0230_00,0.011606720073267197,0.0009238325878890971,0,0.0008201959800447962
0230_01,0.04494886258319319,0.9999999999994683,1,0.9999999999996
0230_02,0.024558619827872108,0.0024059531426713406,1,0.006704937304341738
0230_03,0.03347440839665792,0.0010797951681492074,1,0.002028797517009946
0230_05,0.043787620298835976,0.001674083960499134,0,0.0033840674262606537
0230_06,0.031137972927162055,0.053212679723875576,1,0.06000299157955264
0240_04,0.05128119841873692,0.03618017971379646,1,0.062303628172602106
0249_01,0.13669596923493674,0.01064815445070742,1,0.008424656521314366
0252_00,0.11221835472599266,0.04119336514242602,1,0.036520497957358074
0262_00,0.03607425011478845,0.003466026320243279,1,0.00327202883986447
0265_00,0.06194892300683706,0.046729540396630624,1,0.08003950401314548
0287_00,0.016710759146735418,0.0015711239397291638,0,0.001847381775222643
0300_01,0.03648717516560251,0.0041075514072010195,0,0.004210399497541298
0300_03,0.018927819266507027,0.0022237082423728198,0,0.0021238903003697636
0309_01,0.0021984604085155844,0.0038483719265829837,1,0.00517848660130098
0313_00,0.12727468539169112,0.4068605134620978,1,0.36302886681516006
0326_00,0.14090929848726938,0.5950907020068466,1,0.5622898870037458
0339_00,0.055306743300084976,0.11499791325089247,1,0.1326800929966519
0345_00,0.07935050581504054,0.0017019921923354412,0,0.0046535047770730805
0379_00,0.004429396274658328,0.004033053509926748,0,0.0038593211117131333
0379_01,0.032486977080712305,0.07130491881488304,1,0.07381207571965144
0380_00,0.006401863474206973,0.0014896111850900495,0,0.002103203919248854
0381_00,0.08416139280654338,0.5039972643386381,1,0.5086148022085043
0394_01,0.042731165735100295,0.002357461078848673,0,0.004584031955562358
0408_03,0.06898071259833578,0.41042683370268707,1,0.4003374431488856
0411_01,0.004226279526311901,0.009407566228946885,1,0.01789696673806027
0419_03,0.1505958897622066,0.006022044823981592,0,0.007522685600871437
0419_06,0.0029287914556171634,0.09804410809473253,1,0.10244869140450405
0441_02,0.04255568252073594,0.000505697026470951,0,0.0014963925651187344
0441_03,0.025063989844865336,0.0004714538572040496,0,0.0013241327429209134
0455_07,0.019633245869655508,0.0020799029196144447,1,0.001938702415594766
0461_02,0.12781567801640192,0.004153877647512312,0,0.008137929525935826
0469_02,0.0938163934514391,0.028846991750647033,1,0.041197872982273114
0495_00,0.012978453746190787,0.019293498037263428,1,0.03702892146616651
0495_02,0.03846709578251916,0.04363110908826922,1,0.09699273239395208
0495_06,0.058235168681696564,0.08811154987923733,1,0.09668732882249259
0503_00,0.08765787876677389,0.22827030677172383,1,0.20640533562379967
0507_00,0.05509326102891439,0.016947336809593237,0,0.016382428080966568
0507_01,0.024116315352483077,0.0009279073377002482,0,0.0015904165386910727
0521_00,0.03916653711985725,0.5795450382436397,1,0.5900686194556243
0524_00,0.03833866641014897,0.09507695295674053,0,0.09849123162103648
0568_01,0.03878900370312296,0.02482033821087064,1,0.03247829878986518
0575_01,0.01713057477950817,0.004026437773833926,0,0.0032944835671249377
0575_02,0.23299496674510792,0.0039584222890171146,0,0.010325959281354534
0609_02,0.0,0.002986002062821213,0,0.0018811134496746775
0609_04,0.08416876602170166,0.0022761537249299905,0,0.0031131414362741733
0611_00,0.12258391852457456,0.8014223687285137,1,0.7226827433294812
0615_01,0.02009456640490691,0.024329345807378302,1,0.03448214026350369
0630_00,0.016317029740267396,0.0005591014470567356,1,0.0012730405979750126
0644_01,0.5718591202056539,0.019233434640772575,1,0.04664512216284461
0644_02,0.05139983959979449,0.029686580918000516,1,0.04557462215765785
0690_00,0.06650855835514494,0.32507074295317745,1,0.32850126605030944
0699_01,0.004672256046079268,0.008427166442687222,0,0.006636539062761309
0699_02,0.09048014957013548,0.0,0,0.0029792462339282015
0713_00,0.614358640145303,0.034206666870533475,1,0.07681806248753857
0713_01,0.023012061033309182,0.05289538648920033,1,0.05904409006632622
0730_00,0.017043155185144626,0.008406655946405509,1,0.018403403502666695
0732_00,0.04007586007283292,0.0018316710195075776,0,0.00297346268798251
0739_00,0.10525708382091577,0.0002541619780694232,0,0.004696188340223888
0739_03,0.003583115304634063,0.001086410837224781,0,0.0009166004875337279
0750_00,0.06069725698359339,0.006882331242796509,1,0.007227832914686435
0760_02,0.009421515640065792,0.003498481390465637,1,0.0027901158204047894
0762_01,0.3449506190204163,0.026988412541450478,1,0.042014314034271714
0765_02,0.08033737442568654,0.5419330900188697,1,0.5643871844608913
0784_02,0.00845401584676556,0.0012639968463410063,0,0.0015082726162586318
0784_06,0.060294101709148396,0.007518534505486164,0,0.006989829877430591
0786_01,0.9999999999778802,0.07163256570470297,1,0.10382903689687774
0790_00,0.10504577209597864,0.007054119694628611,1,0.007226578407554601
0818_01,0.03530989423117004,0.0024346589097413367,0,0.0024593809291307677
0836_02,0.07292007447229773,0.029586620266916882,1,0.03699891697068212
0844_00,0.15844686473747333,0.023858617638024916,1,0.029109424615271853
0859_00,0.23068506792747365,0.02318050685940007,1,0.035347747949630616
0870_00,0.013121970041976195,0.17520620960203748,0,0.1825770112443497
0870_04,0.18281344646287737,0.025856665965727124,1,0.041484503806457074
0870_06,0.06638197230976266,0.0051608378068466534,0,0.005782450417076712
0879_02,0.008894764801451311,0.0580316437157199,1,0.07849211579324387
0883_01,0.022570068371463158,0.5054833191508726,1,0.5009235330984394
0896_01,0.0207569836792791,0.0014602785988928762,1,0.0021931688115833918
0896_04,0.02419485882858189,0.003305501424589281,0,0.002898079187053256
0923_01,0.011216005781762479,0.010211914144992291,1,0.020095510432995213
0977_00,0.0626448833761563,0.003775605100178136,1,0.0043571326833114175
0984_02,0.004327980346390511,0.0015688671817167138,1,0.002124916168193577
0984_03,0.25826331969392263,0.025765722746373343,1,0.03620611677752052
0984_06,0.03195244674431316,0.002222975990042432,0,0.0032574483390331727
0995_04,0.0046260887003078364,0.10557738912656073,1,0.10962521315624099
1012_02,0.01841585957197146,0.0012142707805943781,0,0.001385209192439831
